g__Actinoplanes	s__
g__Agrococcus	s__
g__Arachnia	s__Arachnia massiliensis
g__Arachnia	s__Arachnia sp003932855
g__Arachnia	s__Arachnia sp905372155
g__Arcanobacterium	s__Arcanobacterium_A sp902464405
g__Arcanobacterium	s__Arcanobacterium phocae_A
g__Arthrobacter	s__Arthrobacter sp918697925
g__Bacillus_A	s__Bacillus_A anthracis
g__Bacillus_A	s__Bacillus_A bingmayongensis
g__Bacillus_A	s__Bacillus_A cereus
g__Bacillus_A	s__Bacillus_A mycoides
g__Bacillus_A	s__Bacillus_A paramycoides
g__Bacillus_A	s__Bacillus_A sp013314535
g__Bacillus_A	s__Bacillus_A thuringiensis
g__Bacillus_A	s__Bacillus_A thuringiensis_K
g__Bacillus_A	s__Bacillus_A thuringiensis_S
g__Bacillus_A	s__Bacillus_A toyonensis
g__Bacillus_A	s__Bacillus_A wiedmannii
g__Bacillus	s__Bacillus altitudinis
g__Bacillus	s__Bacillus pumilus
g__Bacillus	s__Bacillus pumilus_N
g__Bacillus	s__Bacillus safensis
g__Bifidobacterium	s__Bifidobacterium tibiigranuli
g__Blastococcus	s__Blastococcus colisei
g__Brevilactibacter	s__Brevilactibacter sinopodophylli
g__Clostridium_F	s__Clostridium_F sp943736985
g__Clostridium	s__Clostridium cibarium
g__Corynebacterium	s__Corynebacterium jeikeium
g__Curtobacterium	s__Curtobacterium citreum
g__Curtobacterium	s__Curtobacterium flaccumfaciens_C
g__Curtobacterium	s__Curtobacterium sp003234085
g__Curtobacterium	s__Curtobacterium sp003234365
g__Curtobacterium	s__Curtobacterium sp003234795
g__Curtobacterium	s__Curtobacterium sp003755065
g__Curtobacterium	s__Curtobacterium sp015350995
g__Enterococcus_B	s__Enterococcus_B faecalis_A
g__Enterococcus_B	s__Enterococcus_B faecium
g__Enterococcus_D	s__Enterococcus_D casseliflavus
g__Exiguobacterium_A	s__Exiguobacterium_A indicum
g__Exiguobacterium_A	s__Exiguobacterium_A sp902363455
g__Frondihabitans	s__Frondihabitans sp001423105
g__Lachnobacterium	s__Lachnobacterium sp900113385
g__Lacrimispora	s__Lacrimispora sp003833015
g__Lactiplantibacillus	s__Lactiplantibacillus plantarum
g__Lactococcus	s__Lactococcus lactis
g__Ligilactobacillus	s__Ligilactobacillus ruminis_A
g__Longispora	s__Longispora albida
g__Marinilactibacillus	s__Marinilactibacillus sp017599325
g__Microbacterium	s__Microbacterium kitamiense
g__Microbacterium	s__Microbacterium maritypicum_A
g__Microbacterium	s__Microbacterium oleivorans_A
g__Microbacterium	s__Microbacterium sp000383475
g__Microbacterium	s__Microbacterium sp001792815
g__Microbacterium	s__Microbacterium sp002979515
g__Microbacterium	s__Microbacterium sp900102005
g__Micromonospora	s__Micromonospora sp018070325
g__Micropruina	s__Micropruina glycogenica
g__Oceanobacillus	s__Oceanobacillus chungangensis
g__Oceanobacillus	s__Oceanobacillus halophilus
g__Paenarthrobacter	s__Paenarthrobacter sp017357425
g__Paraclostridium	s__Paraclostridium ghonii
g__Parageobacillus	s__Parageobacillus thermoglucosidasius
g__Propionicimonas	s__Propionicimonas sp002841335
g__Salimicrobium	s__Salimicrobium album
g__Staphylococcus	s__Staphylococcus aureus
g__Staphylococcus	s__Staphylococcus capitis
g__Staphylococcus	s__Staphylococcus caprae
g__Staphylococcus	s__Staphylococcus coagulans
g__Staphylococcus	s__Staphylococcus edaphicus
g__Staphylococcus	s__Staphylococcus epidermidis
g__Staphylococcus	s__Staphylococcus equorum_A
g__Staphylococcus	s__Staphylococcus gallinarum
g__Staphylococcus	s__Staphylococcus intermedius
g__Staphylococcus	s__Staphylococcus pseudintermedius
g__Staphylococcus	s__Staphylococcus warneri_A
g__Staphylococcus	s__Staphylococcus xylosus
g__Streptococcus	s__Streptococcus iniae
g__Streptococcus	s__Streptococcus ratti
g__Streptococcus	s__Streptococcus suis
g__Streptococcus	s__Streptococcus suis_AA
g__Streptococcus	s__Streptococcus suis_F
g__Streptococcus	s__Streptococcus suis_P
g__Streptococcus	s__Streptococcus suis_S
g__Streptococcus	s__Streptococcus suis_W
g__Streptomyces	s__
g__Streptomyces	s__Streptomyces parvus
g__Terribacillus	s__Terribacillus aidingensis
g__Terribacillus	s__Terribacillus halophilus_A
g__Terribacillus	s__Terribacillus saccharophilus
g__Terribacillus	s__Terribacillus sp002271665
g__Tersicoccus	s__Tersicoccus sp001968825
g__Virgibacillus	s__Virgibacillus pantothenticus
g__Virgibacillus	s__Virgibacillus salexigens
g__Weissella	s__Weissella diestrammenae
